college,department,number,course,description
CAS, Classics,126, Cicero: Oratory and Rhetoric,"Reading course in Latin. One or more exemplars of Cicero’s rhetorical style or rhetorical theory. Consideration of rhetorical forms, figures, and topoi. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)"
CAS, Classics,127, Vergil: Aeneid,Reading course in Latin. The epic poem on the effort of founding Rome and the cost of its greatness. Consideration of the traditional and innovative features of Vergil’s epic style and purpose. Attention to epic meter. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)
CAS, Classics,128, Seneca: Tragedies,"Reading course in Latin. Careful reading and discussion of a play by Seneca, with particular consideration of Seneca’s cultural context and importance in literary history, including his influence on later dramatists such as Shakespeare. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)"
CAS, Classics,129, Roman Novel,"Reading course in Latin. Students will study a Roman Novel, with selections read in Latin and supplementary materials in English. Possible texts include Petronius’s Satyricon, a trenchant satire of Roman society composed under Nero; and Apuleius’s Golden Ass, the grim yet ribald tale of a man who accidentally turns himself into a donkey. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)"
CAS, Classics,130, Roman Elegy,"Reading course in Latin. Representative selections from the works of Tibullus, Propertius, and Ovid. Origins and development of the elegiac genre. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)"
CAS, Classics,131, Vergil: Eclogues and Georgics,Reading course in Latin. Vergil’s earlier works: pastoral poems set in an idealized landscape and the didactic poem on the agriculture and countryside of his native Italy. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)
CAS, Classics,132, Horace,Reading course in Latin. Selections from the odes and epodes. Attention to cultural context and the adaptation of Greek lyric forms and rhythms to the Latin language. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)
CAS, Classics,133, Livy,"Reading course in Latin. Selections from the Ab Urbe Condita—the history of Rome from its semi-mythical founding through monarchy, early Republic, and Punic Wars. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)"
CAS, Classics,134, Roman Letters,"Reading course in Latin. Selections from letters by various authors: Cicero, Seneca, Pliny. Discussion of the epistle as a literary genre, with focus on the social and historical background of the author. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)"
CAS, Classics,135, Late Antique and Medieval Latin,"Reading course in Latin. Major works of prose and poetry from the fourth century to the Renaissance. St. Augustine’s Confessions; Boethius’s Consolation of Philosophy; the histories of Gregory of Tours, Bede, and Einhard; Latin fables; popular songs such as the Carmina Burana; and the humanistic writings of Dante, Boccaccio, and Petrarch. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)"
CAS, Classics,136, Roman Historians,"Reading course in Latin. Selections from Roman historians such as Tactitus or Sallust. Focus on the construction of history as both a literary genre and academic discipline, as well as how Romans constructed their own history. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)"
CAS, Classics,137, Latin Biography ,Reading course in Latin. Selections from Suetonius and/or Cornelius Nepos. Focus on the genre of biography and the cultural contexts of the authors and subjects. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)
CAS, Classics,138, Martial,"Reading course in Latin. Selections from Martial’s epigrams. Focus on the genre of epigram, Martial’s poetic style, and the relationship between Martial’s poetry and his cultural context. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)"
CAS, Classics,139, Special Topics in Latin Poetry,"Reading course in Latin. Occasional courses in selected authors or genres for advanced students. Possible topics: Lucretius, Lucan, or satire. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)"
CAS, Classics,140, Special Topics in Latin Prose,"Reading course in Latin. Occasional courses in selected authors or genres for advanced students. Possible topics: Quintillian, Varro, Aulus Gellius. Prerequisites: CLAS 3 or equivalent expertise in Latin. (5 units)"
CAS, Classics,21, Myth through Introductory Greek I ,Learn to read Ancient Greek by reading Ancient Greek works about mythology in their original language. (4 units)
CAS, Classics,22, Myth through Introductory Greek II ,Continuation of CLAS 21. Requires completion of CLAS 21 or permission of instructor. (4 units)
CAS, Classics,23, Myth through Introductory Greek III ,Completion of Myth through Introductory Greek sequence. Requires completion of CLAS 22 or permission of instructor.  (4 units)
CAS, Classics,151, Lucian,"Reading course in Greek. Selections from the author’s satirical treatments of mythology, history, philosophy, and rhetoric and/or from the fantasy called A True Story. Lucian’s place in the Second Sophistic. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,152, Homer: Odyssey,Reading course in Greek. Selected passages demonstrating the exploration of the heroic ethos in an epic of peacetime. Consideration of epic meter and conventions. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)
CAS, Classics,153, Euripides,"Reading course in Greek. A complete tragic drama. Attention to characterization, dramatic structure, poetry, and Euripides’ place in the history of tragedy. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,154, Herodotus,"Reading course in Greek. Selections from the Persian Wars. Focus on Herodotus’ prose style, narrative form, world view, and achievements as the “Father of History.” Peculiarities of the Ionic dialect. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,155, Plato,"Reading course in Greek. Careful reading from one or more dialogues such as Apology, Crito, Phaedo, and Republic. Detailed study of dialogue mode of discourse; overview of Plato’s philosophy. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,156, Greek New Testament,Reading course in Greek. Readings selected from the Koine Greek text of the New Testament with a concentration on the gospels or the epistles. Close reading of the text with a view to theological implications of the vocabulary. Introduction to primary research tools. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)
CAS, Classics,157, Hesiod,"Reading course in Greek. Selected readings from Hesiod’s two poems, Works and Days and Theogony. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,158, Xenophon,"Reading course in Greek. Selected readings from Xenophon’s Memorabilia, Anabasis, Cyropaedia or one of his other works. Focus on Xenophon’s style and cultural and historical context. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,159, Greek Novel,"Reading course in Greek. Selected chapters from one or more of the ancient Greek novels, paying particular attention to language and style. In addition to our reading, we will also explore the genre of the novel and the literary, historical, and social contexts surrounding the development of this literary phenomenon. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,160, Plutarch,Reading course in Greek. Selected readings from Plutarch’s biographies or Moralia. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)
CAS, Classics,161, Homer: Iliad,Reading course in Greek. Selected passages illustrating the course and consequences of the wrath of Achilles and the nature of the hero. Consideration of epic meter and conventions. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)
CAS, Classics,162, Sophocles,"Reading course in Greek. A complete tragic drama. Attention to characterization, dramatic structure, and poetry, and to the author’s particular contributions to the development of the tragic form. Metrical reading of the text. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,163, Aeschylus,"Reading course in Greek. A complete tragic drama. Attention to characterization, dramatic structure, and poetry, and to the author’s particular contributions to the development of the tragic form. Metrical reading of the text. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,164, Greek Oratory,"Reading course in Greek. Selections from a representative Greek orator such as Demosthenes or Lysias. Consideration of classical rhetorical forms, topoi, and cultural and historical context. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,165, Aristophanes,"Reading course in Greek. A complete comic drama. Attention to dramatic structure, characterization, poetry, political and social commentary, comedic style, and to Aristophanes’ place in the history of comedy. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,169, Special Topics in Greek Poetry,"Occasional courses in selected authors or genres for advanced students. Possible topics: Lyric, Homeric Hymns, or Pindar. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,170, Special Topics in Greek Prose,"Occasional courses in selected authors or genres for advanced students. Possible topics: Thucydides, Aristotle, or Marcus Aurelius. Prerequisites: CLAS 23 or equivalent expertise in Greek. (5 units)"
CAS, Classics,5, Ancient Mediterranean Religious Traditions,"An introduction to the beliefs and practices of religious traditions in the ancient Mediterranean world. Students will examine polytheistic, henotheistic, and monotheistic religions and their interactions with each other, particularly in cosmopolitan societies. Attention will be paid to ancient Egypt, Israel, Greece, Carthage, Rome, and the Celtic world."
CAS, Classics,11A, and 12A Cultures & Ideas I and II,"A two-course sequence focusing on a major theme in human experience and culture over a significant period of time. Courses emphasize either broad global interconnections, or the construction of Western culture in its global context. Courses will address significant texts, ideas, issues, and events in their historical context from a humanistic perspective. Classics topics include Friendship: Ancient and Modern, Gods and Mortals, Heroes and Heroism, Sports and Spectacle, Creating Barbarians, and Ancient Spaces. Successful completion of C&I I (CLAS 11A) is a prerequisite for C&I II (CLAS 12A). (4 units each quarter)"
CAS, Classics,19, Greek Civilization,"An introductory overview that synthesizes central aspects of ancient Greek civilization to provide a general understanding of ancient Greek culture and its contributions to later societies. Topics include mythology, religion, history, theater, politics, art, philosophy, and gender. This course can be taken either as a lower-division course or as an upper-division course (CLAS 119). (4 units)"
CAS, Classics,20, The Legacy of Rome ,"What have the Romans ever done for us? This course provides an overview of ancient Roman culture and the fundamental role the Romans played in shaping western civilization. We will pay particular attention to the legacy of Roman civilization that continues to influence contemporary culture, whether for good or ill. Topics include the republicanism, concepts of time, literature, architecture, religion, and the purpose of education itself. And the aqueducts. And the wine. (The course has no prerequisites.) This course can be taken either as a lower-division course or as an upper-division course (CLAS 120). (4 units)"
CAS, Classics,41, Word Workshop: Scientific Etymology,This class will help you build your vocabulary and acquire the tools to figure out words that you do not already know by teaching you the basics of English word formation and some common Greek and Latin morphemes. (2 units)
CAS, Classics,42, Greek and Roman Heroes in Hollywood,Movies have fascinated their audiences with Greek myths for decades but are notorious for playing fast and loose with the ancient stories. This course examines some cinematic versions of classical figures such as Perseus or Heracles and the classical sources they adapt for modern audiences. (topic varies). (2 units)
CAS, Classics,51, History of Philosophy: Classical and Medieval,"Beginnings of Western philosophy. Representative philosophers of the Greek and Medieval traditions, with attention to their historical milieu and their relevance to contemporary thought. Also listed as PHIL 14. (4 units)"
CAS, Classics,52, Introduction to the Arts of Ancient and Medieval Europe,"Visual analysis of the ancient and medieval world. Topics may include the relationship between Greek art and politics, Imperial Roman art, propaganda, Pompeian wall painting, early Christian art, the origins of Islam, and the function and culture of pilgrimage in the Middle Ages. Also listed as ARTH 21. (4 units)"
CAS, Classics,60, Ancient Monuments,"An exploration of the nature of political and religious authority: that is, the relationship between the individual, the state, and the divine—in three different ancient civilizations. The primary “texts” for this investigation are the representative monuments of each culture: the pyramids of Egypt (particularly the Old Kingdom), the Temple of Solomon in Jerusalem in the united monarchy, and the Parthenon. (4 units)"
CAS, Classics,61, Ancient Empires,"The course examines the construction and manipulation of identities in three ancient empires—Achaemenid Persian, Seleucid, and Roman—as well as cultures on their peripheries. Both literary and material sources are used to study how the inhabitants and rulers of these large, cosmopolitan empires defined themselves. (4 units)"
CAS, Classics,63, Sex and Religion in Ancient Greece: Ancient Eros,"This course explores the various manifestations and significance of sex (“Bittersweet Eros”), both the deity and the divinely-inspired passion, in ancient Greece. While this course focuses on examining the socio-religious significance of Aphrodite and her son, Eros (the Roman Cupid), it is also designed to provoke an open conversation about responses to sex found in relevant contemporary religious expression. Assignments are derived from Greek and Roman literature, philosophy, historiography, and art, as well as from contemporary magazines, scholarly journals and books, religious documents, and movies. Participation in class discussion is mandatory for this seminar-style course. (4 units)"
CAS, Classics,65, Classical Mythology,"Principal gods and heroes of Greek and Roman antiquity: their stories, significance, and pictorial representations. Implications of myth in society and possible origins of myth. Important background for European and English literature. (4 units)"
CAS, Classics,67, Ancient Greek Religion,"Consideration of the differing attitudes and expectations of polytheisms and monotheisms, and of religious expression in the context of classical Greek cult and ritual. Readings are drawn from a wide variety of literary, historical, philosophical, and epigraphical texts. Also listed as HIST 16. (4 units)"
CAS, Classics,68, Ancient Roman Religion,"Examination of religious practices, institutions, and beliefs of the ancient Romans. Special consideration of interconnections in Roman religiosity between the acts/beliefs of individuals and the concerns of the state. Concludes with philosophic mysticism, magic, mystery religions, and Christianity. Also listed as HIST 17. (4 units)"
CAS, Classics,75, Classics in Cinema,"A survey of the classical world through selected dramatic films illustrating sequentially the cultural and political history of ancient Greece and Rome. Close viewings of popular films, with comparative reference to sources and practice in the techniques of film criticism. (4 units)"
CAS, Classics,83, Hercules!,"While many people today may first encounter Hercules through the popular Disney movie, TV shows, or comic books, the original character of Hercules in the ancient world is much more complex than many of these current depictions convey. Not only powerful and brave, but also an adulterer and murderer, Hercules (or Heracles, as he is known to the ancient Greeks) struggles both literally and metaphorically on his path to immortality. Our class will examine various ancient and modern depictions of Hercules in order to understand the full picture of a truly complicated figure. This course can be taken either as a lower-division course or as an upper-division course (CLAS 183). (5 Units)"
CAS, Classics,86, Cultural Heritage and Collecting Antiquities,"This course will study the history of museums, art collecting, and art theft in the ancient world. It will explore the concept of cultural heritage to discuss what is shown in collections, and to critique what museums are choosing to show to the viewing public, and what this means for civic life. This class is an exploration of art collecting in the ancient world, the heritage of ancient art, and its presentation and preservation for the edification of the viewing public in our modern world. This course can be taken either as an upper-division course (CLAS 186) or lower-division course (4 units)."
CAS, Classics,105, Roman Art and Architecture,"This course surveys the development of art and architecture in the Roman world from the Iron Age through Late Antiquity. The course emphasizes the role of the state as well as political, social, and religious organizations in shaping Roman art, architecture, and material culture. Also listed as ARTH 105.A9 (5 Units)"
CAS, Classics,107, Archaic Greek History: Scientists and Spartans,"If society collapsed, do you have the know-how to survive? Over three thousand years ago, this same question confronted the ancient Greeks. This course on Archaic Greek history examines how the Greeks used inquiry and experimentation to deal with problems such as climate change, epidemic disease, and economic decline. Students will study how these innovations forced the Greeks to confront social issues such as income inequality and environmental destruction that continue to have profound relevance. By studying the Greek response to such issues, students will be better able to think about the relationship between technology and society in the contemporary world. Also listed as HIST 107 (5 units)"
CAS, Classics,108," Classical Greek History: Tyrants, Traitors, and Rebels","A survey of Hellenic history from the Bronze Age to Alexander the Great. Emphasis on the rise and fall of the polis as an independent social, cultural, and political community. Also listed as HIST 108. (5 units)"
CAS, Classics,109, The Hellenistic Age,"A cultural, social, and political review of Alexander the Great’s conquests and their Hellenistic ramifications through the reign of Egypt’s Cleopatra VII. Also listed as HIST 109. (5 units)"
CAS, Classics,110, Roman Republic,"A political, military, social, and cultural review of the rise and fall of the most successful state the West has ever known. Also listed as HIST 110. (5 units)"
CAS, Classics,111, Roman Empire,"A political, social, and cultural survey of the Roman Empire beginning with Augustus and tracing changes in Rome from the development of the Roman Empire as a world state to the development of Christianity as a world religion. Also listed as HIST 111. (5 units)"
CAS, Classics,113, Democracy Under Siege: Ancient Athens and Modern America,"This course will trace the fate of the Athenian democracy from the archaic period through the Hellenistic Age (circa 594 to 307 BCE). It will cover the foreign and domestic policies of Athens through this period, and cover both the problems and the opposition to democracy by non-democratic polities, as well as by those opponents of democracy who lived in Athens itself. Although the United States is a republic and not a democracy in the Athenian mode (which in fact, was the intent of our republic’s founders), the U.S. in the 21st century is facing comparable opposition both domestically and in the realm of foreign affairs to those which confronted the ancient Athenians. Parallels between the world of the 4th century BCE and the 21st century will not only be noted, they will be emphasized through readings and class discussions. Also listed as HIST 132. (5 units)"
CAS, Classics,114, The Democratic City,"Do you have what it takes to negotiate with royalty, save a city from famine, foil a tyrannical coup, and be home by dinner? In this course, students will study the nature and history of ancient democracy. They will actively engage with this subject by taking on the role of citizens in a model Greek democracy. They will need to collaborate, persuade, and debate in order to solve case studies based on the problems ancient democracies faced. Students will gain hands-on experience with direct democratic problem-solving while learning about the history of ancient democracy and its relationship to contemporary politics. (5 units)"
CAS, Classics,116, Greek Art,"The course examines Greek art, architecture, and material culture from the Bronze Age through the Roman period. Special attention is paid to the development of art and architecture within political, historical, and cultural contexts. Also listed as ARTH 104. (5 units)"
CAS, Classics,117: Art and Architecture of the Roman Republic and the Early Empire,,"Chronological survey of artistic development in Republican and Imperial Rome. Related issues include the influence of Greek and Etruscan art, the relationship between political ideology and public art programs, and the impact of improved materials on building design. Cross-listed with AAH 106. This course satisfies the advanced writing requirement. (5 units)"
CAS, Classics,119, Greek Civilization,"An introductory overview that synthesizes central aspects of ancient Greek civilization to provide a general understanding of ancient Greek culture and its contributions to later societies. Topics include mythology, religion, history, theater, politics, art, philosophy, and gender. This course can be taken either as an upper-division course or lower-division course (CLAS 19). (5 units)"
CAS, Classics,120, The Legacy of Rome ,"What have the Romans ever done for us? This course provides an overview of ancient Roman culture and the fundamental role the Romans played in shaping western civilization. We will pay particular attention to the legacy of Roman civilization that continues to influence contemporary culture, whether for good or ill. Topics include republicanism, concepts of time, literature, architecture, religion, and the purpose of education itself. And the aqueducts. And the wine. (The course has no prerequisites.) This course can be taken either as an upper-division course or lower-division course (CLAS 20). (5 units)"
CAS, Classics,141, Love and Relationships in Classical Antiquity,"An examination of the many forms of loving and erotic relationships as they pertained to the Greek and Roman quest for the best human life. Readings in Euripides, Sappho, Ovid, Plato, Aristotle, and many others from genres of poetry, essays, letters, tragedy, and philosophy. Also listed as PHIL 141D and WGST 133. (5 units)"
CAS, Classics,144, Heretics and Holy Wars,"Exploration of religion and the Mediterranean region between 235 and 622 CE. Attention will be paid to monasticism, pilgrimage, heresy, philosophy, and the relationships between the church and state, communities and individuals, and individuals and the divine. Also listed as HIST 106. (5 units)"
CAS, Classics,146, Age of Socrates,"A study of Socrates as both a historical and literary figure, with special attention to his political and cultural context, and to our three chief sources on him and his philosophical activities: Aristophanes, Plato, and Xenophon. Also listed as PHIL 141. (5 units)"
CAS, Classics,149, Ancient and Modern Ethics,"This course will engage theories and issues related to normative ethics (generally speaking, the study of ethics concerned with right or wrong conduct, good or bad actions, and virtuous or vicious character). In this class, we will discuss a variety of both ancient and modern texts dealing with ethical theories/approaches and their practical applications, in order to productively debate the merits of these approaches and the plausibility of their applications to contemporary ethical issues, such as animal rights, eugenics, abortion, and torture.(5 units)"
CAS, Classics,171," Ancient Science and Technology: Atoms, Aqueducts, and Alchemy","This course examines the development of science and technology in the ancient Mediterranean, with a focus on Greek city-states, Hellenistic kingdoms in the age of Alexander the Great and Cleopatra, and the Roman Empire. The creation and evolution of ancient scientific disciplines are studied, as is the use of technology in construction, warfare, agriculture, religion, manufacturing, and medicine. Both ancient theory and practice are examined within their cultural, social, political, and economic context. (5 units)"
CAS, Classics,173: Bath and Body Works (in Ancient Rome),,"This course will consider the developments of baths and bathing in ancient Roman culture, examining how scientific and technological innovations in the construction of bath buildings contributed to the proliferation of daily public bathing. Other topics of consideration include the motivations behind building baths, the methods and technologies required to bring water to and from the baths, and connections to similar modern facilities. This course satisfies the STS requirement. (5 units)"
CAS, Classics,175, Topics in Classical Literature,Occasional courses or seminars in specialized topics. Consult current course descriptions for details. (5 units)
CAS, Classics,176, Topics in Ancient History,Occasional courses or seminars in specialized topics. Consult current course descriptions for details. (5 units)
CAS, Classics,177, Topics in Ancient Philosophy,Occasional courses or seminars in specialized topics. Consult current course descriptions for details. (5 units)
CAS, Classics,178, Topics in Classical Culture,Occasional courses or seminars in specialized topics. Consult current course descriptions for details. Also listed as HIST 129. (5 units)
CAS, Classics,180, Laughter and the Shape of Comedy,"Students will investigate the nature and psychosocial functions of laughter, with a particular eye to the Greek and Roman roots of Western comedy. Readings will focus on comedic plays by Aristophanes, Plautus, and Terence, supplemented with readings of ancient and modern humor theorists and psychologists. For each playwright, we will also analyze one popular recent movie and other modern analogs of humor and plot structures. Students will demonstrate their understanding of the material by collaborating over the course of the term to write, costume, and perform original plays in imitation of the ancient playwrights. Also listed as THTR 181a. (5 units)"
CAS, Classics,181, Classical Tragedy,"Representative works of the principal Greek tragic playwrights: Aeschylus, Sophocles, and Euripides. Features of the tragic genre, its origins, and the conventions of its performance. Also listed as THTR 181. (5 units)"
CAS, Classics,182: Myth on the Democratic Stage,,"This course explores how ancient Greeks used tragic and comic plays to help people become better democratic citizens and whether their plays can still help us become better democratic citizens today. We will study selected Greek comedies, which directly mocked social and civic practices, and selected Greek tragedies, which used myths to guide audiences to think more critically about democratic politics, their own civic responsibilities, and the communal consequences of their traditional values. Students will use the ancient Greek plays to enrich their understanding of current events. We will also watch and discuss Miranda’s Hamilton as a modern analog. Satisfies the Civic Engagement requirement. (5 units)"
CAS, Classics,183, Hercules!,"While many people today may first encounter Hercules through the popular Disney movie, TV shows, or comic books, the original character of Hercules in the ancient world is much more complex than many of these current depictions convey. Not only powerful and brave, but also an adulterer and murderer, Hercules (or Heracles, as he is known to the ancient Greeks) struggles both literally and metaphorically on his path to immortality. Our class will examine various ancient and modern depictions of Hercules in order to understand the full picture of a truly complicated figure. This course can be taken either as a lower-division course (CLAS 83) or as an upper-division course. (5 Units)"
CAS, Classics,184, Classical Mythology in the Western Tradition,"An exploration of some of the ways authors from the classical period through the 20th century have manipulated Greek myths for their own poetic and political purposes. Focus is on the legends surrounding the fall of Troy, with particular attention paid to the shifting character of perhaps the two most protean figures in Greek mythology: Odysseus and Helen. Texts include selections from Homer’s Iliad, Vergil’s Aeneid, and Dante’s Inferno, and un-excerpted works by Homer, Sophocles, Euripides, Gorgias and Isocrates, Ovid, Seneca, Dictys and Dares, Shakespeare, Tennyson, Giraudoux, modern Greek poets, and the Coen brothers. (5 units)"
CAS, Classics,185, Gender in Antiquity,"Investigation into the representation and the reality of gender in social, economic, political, and religious contexts in the classical world. Also listed as WGST 157. (5 units)"
CAS, Classics,186, Cultural Heritage and Collecting Antiquities,"This course will study the history of museums, art collecting, and art theft in the ancient world. It will explore the concept of cultural heritage, to discuss what is shown in collections and to critique what museums are choosing to show to the viewing public and what this means for civic life. This class is an exploration of art collecting in the ancient world, the heritage of ancient art, and its presentation and preservation for the edification of the viewing public in our modern world. This course can be taken either as an upper-division course or lower-division course (CLAS 86) (5 units)."
CAS, Classics,188, Greek Justice and Democratic Juries,"This course explores the ancient Greek roots of modern American justice. We study how the classical Athenian court system worked, as well as how the Greeks used poetry, tragedy, comedy, mythology, and philosophy to develop and discuss the concepts of justice that underpinned their court systems. We focus particularly on the nature of justice, the rationale for jury trials, and the role law plays in a democratic state, comparing and contrasting classical Greek and modern American ideas. At the end of the course students run trials using classical Athenian court structure and judicial philosophy to try controversial cases currently working their way through the U.S. federal court system. (5 units)"
CAS, Classics,190, Mythic Marginalized Figures in US Culture,"Marginalized and/or disempowered groups in the United States have been turning to, and reinventing, Classical stories for the purposes of describing and exploring their own experiences of marginalization. This course will look at some modern American receptions of mythical characters/groups originating in ancient Greece and Rome, including Medea and the Amazons. We will focus on how and why these particular figures/groups, who were often viewed as “marginalized” or outsiders in the ancient world, have been embraced and/or reinvented by modern marginalized groups, including, but not limited to, the LGBTQ community; women, both white and of color; and other persons of color. Both lower and upper division courses will count for the Diversity core requirement. (5 Units)"
CAS, Classics,197A, Capstone I,"Biweekly seminar on various topics, combined with initial research for senior thesis. The identification of a coherent topic of thesis, development of a detailed outline, and preparation of an annotated bibliography, are conducted under the active direction of a member of the classics faculty. Prerequisites: For senior classics majors only; permission of instructor and department chair required. (3 units)"
CAS, Classics,197B, Capstone II,"Continuation of seminar in addition to supervised completion of the final draft, public oral presentation, and defense of the senior thesis. Prerequisites: CLAS 197A. For senior classics majors only; permission of instructor and department chair required. (3 units)"
CAS, Classics,198, Internships/Practica,"Independent work outside, and in coordination with, the department. By permission only."
CAS, Classics,199, Directed Reading/Research,"Individually designed programs of reading or research, in Latin, Greek, or classics (e.g., literature in translation or culture). Prerequisites: Available to advanced students. Permission of instructor and department chair required. (5 units)"
CAS, Communication,Requirements for the Minor,,The Communication department offers  minors in  journalism and digital filmmaking. Communication majors may not enroll in one of these minors. 
CAS, Communication,1,  Communication in Everyday Life,"This course introduces students to the role of communication in various contexts (families, organizations, groups, institutions, culture, etc), and modalities (social media, film, journalism, speech, narrative, etc). This course considers the disciplinary background of communication research and theory (psychology, sociology, anthropology, media ecology, etc). The course teaches students to understand the formation and critique of theories of communication, focusing on ethics, diversity, and social justice in each of the contexts by helping students to understand how communication can contribute to a more humane, just, and sustainable world. (4 units)"
CAS, Communication,2, Public Speaking,"This course is designed to provide students with basic theories and skills that are essential to effective public speaking. Topics include audience analysis, organization, persuasion, credibility, and delivery. Students can apply these skills in a variety of public speaking situations, whether in future communication in college courses or in nonacademic settings. Each student will also learn to analyze, criticize, and evaluate the speaking of others. (4 units)"
CAS, Communication,3, Digital Storytelling,"This course challenges students to become educated consumers and creators of stories in the digital age. Students will learn how to produce and critique a podcast, a short film and a multimedia portfolio. They will learn how to identify the basic elements of narrative design and evaluate four different types of stories: fiction, non-fiction, news, and advocacy. What makes each of these storytelling genres unique? When are they most effective? Why use each one? Throughout the quarter, students will learn how to analyze audiences and assess the best storytelling strategies to connect with them. (4 units)"
CAS, Communication,4, Approaches to Communication Research,"This course introduces students to how communication scholars ask and answer questions about the social world. Three modes of inquiry will be explored, including quantitative, qualitative, and critical, as well as the value and practical implications of examining a problem or topic area from three different modes. The course is guided by this focus: How do we ask research questions to understand the social world and solve problems in the field of communication? Prerequisite: completion of 30 units. (4 units)"
CAS, Communication,10, Interpersonal Communication ,"This course will explore how communication functions to affect social interactions. The course will cover theories and concepts related to culture, emotion, gender, identity, language, nonverbal communication, power dynamics, and perception in interpersonal relationships, groups, teams, and organizations. These concepts will be further explored through face-to-face, mediated, and virtual contexts. Students will review contemporary scholarship and reflect on their own everyday interactions. Prerequisites: COMM 1, COMM 2, COMM 3, & COMM 4. (4 units)"
CAS, Communication,12, Technology and Communication,"Examination of the relationship between communication technology and society, in the past, present, and future. Hands-on work with the computer and Internet as tools for research and communication. This course satisfies the University STS core requirement. There are no prerequisites for this course. (4 units)"
CAS, Communication,30, Digital Filmmaking,"Designed to help students learn the art and practice of digital filmmaking. Through a combination of lectures, labs, shooting, and editing exercises, students are introduced to the concepts and processes involved in producing a short documentary and a short fictional film. In addition to attendance in class, all students are required to attend production labs. Concurrent enrollment in lab required. This course satisfies the University Arts core requirement. Prerequisites: COMM 1, COMM 2, COMM 3, & COMM 4 for majors, no prerequisite for digital filmmaking minors. (5 units) "
CAS, Communication,50, Media and Technology Studies,"An intermediate course on media research, theory, and industries, focused on print, film, broadcasting, the Internet, and digital and social media in the U.S. context.  The course deepens students’ understanding of the economics and organization of the media industries; the mutual influence of media technologies and society in everyday life; media policy and regulation; and the ways in which social/cultural factors and positioning influence and constrain the construction, representation, interpretation, and effects of media messages. Students will apply these theories and concepts to analyze contemporary media industries and content, and their own use of media.  This course satisfies the University Social Science core requirement. Prerequisites: COMM 1, COMM 2, COMM 3, & COMM 4. (4 units)"
CAS, Communication,60, Journalism,"Introduction to the theories and techniques of journalism, with emphasis on the role of journalism in a democracy, news values and ethics, reporting and writing techniques. Discussions and readings on the future of journalism. Includes weekly online lab. Prerequisites: COMM 1, COMM 2, COMM 3, & COMM 4 for majors, no prerequisite for journalism minors and all other students. (5 units) "
CAS, Communication,80,"  Global Media Technologies, Culture & Politics ","This course explores the connections between media, technology, and globalization with a focus on the political, economic and cultural aspects of their relationship . We will read and watch a variety of media on popular culture and politics in the US and globally, and examine these in terms of global power relations and inequities. Prerequisites: Comm 1-4. (4 units)"
CAS, Communication,100, Quantitative Research Methods,"Provides students with an overview of communication as a social science and of methods for analyzing communication content, media audiences, and interpersonal communication practices. Topics include the fundamentals of research design, ethics, measurement, sampling, data analysis, and statistics. Students will learn how to evaluate quantitative research studies, synthesize quantitative findings, and utilize existing data to answer questions about communication phenomenon. Through hands-on assignments, students gain experience in concept measurement, research design, and data analysis. Prerequisites: COMM 1, COMM 2, COMM 3, and COMM 4 for majors who declared after June 2022; COMM 1 (prior to Fall 2022) and COMM 2 (prior to Fall 2022) for majors who declared before June 2022 . (5 units)"
